AgeGeneration,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHomeCategory,Education,EducationField,EmployeeEngagementScore,EmployeeId,ExperiencePriorToCurrentJob,Gender,HourlyRate,JobLevel,JobRole,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceSatisfactionIndex,StockOptionLevel,TrainingTimesLastYear,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
Millennials,0,Travel_Frequently,1444,Human Resources,Short Distance,Master,Other,Better,1,Junior,Male,88,Staff,Human Resources,Married,2991,5224,0,Yes,11,Medium,1,2,2,1,2
Millennials,1,Travel_Rarely,1141,Research & Development,Medium Distance,College,Medical,Bad,2,Senior,Female,61,Junior Supervisor,Healthcare Representative,Married,4777,14382,5,No,15,Low,0,2,0,0,0
Gen X,1,Travel_Rarely,1323,Research & Development,Short Distance,Master,Life Sciences,Better,3,Mid-level,Male,34,Staff,Research Scientist,Married,2461,10332,9,Yes,12,Medium,3,2,0,2,7
Gen Y,0,Travel_Frequently,555,Sales,Long Distance,Bachelor,Marketing,Better,4,Junior,Female,77,Junior Manager,Sales Executive,Married,13525,14864,5,No,14,High,1,2,4,4,8
Millennials,0,Travel_Rarely,1194,Research & Development,Short Distance,Master,Medical,Better,5,Senior,Female,98,Staff,Research Scientist,Married,2001,12549,2,No,14,Medium,3,2,3,0,2
Gen Z,0,Travel_Rarely,352,Human Resources,Short Distance,Below College,Medical,Good,6,Junior,Male,87,Staff,Human Resources,Married,2804,15434,1,No,11,High,0,3,0,0,0
Millennials,0,Travel_Rarely,1124,Sales,Short Distance,College,Medical,Good,7,Junior,Male,57,Junior Supervisor,Sales Executive,Married,7457,13273,2,Yes,22,High,3,2,3,0,2
Gen X,1,Travel_Rarely,725,Research & Development,Short Distance,Bachelor,Medical,Better,8,Senior,Male,78,Senior Manager,Manager,Married,19859,21199,5,Yes,13,High,1,2,2,1,4
Millennials,0,Travel_Frequently,635,Research & Development,Medium Distance,Below College,Medical,Better,9,Junior,Female,73,Staff,Laboratory Technician,Single,2153,7703,1,No,13,Medium,0,2,1,1,7
Millennials,0,Travel_Rarely,1018,Research & Development,Short Distance,College,Life Sciences,Better,10,Junior,Female,39,Senior Supervisor,Research Director,Single,11159,19373,3,No,15,High,0,6,7,7,7
Gen Z,0,Travel_Rarely,583,Sales,Short Distance,Below College,Marketing,Better,11,Junior,Male,87,Junior Supervisor,Sales Executive,Married,4256,18154,1,No,12,Low,0,1,2,0,3
Gen Z,1,Travel_Rarely,129,Research & Development,Short Distance,Bachelor,Technical Degree,Better,12,Junior,Male,84,Staff,Laboratory Technician,Single,2973,13008,1,No,19,Low,0,2,0,0,0
Gen Y,0,Travel_Rarely,571,Sales,Medium Distance,Bachelor,Medical,Good,13,Mid-level,Female,78,Junior Supervisor,Sales Executive,Married,4591,24200,3,Yes,17,High,1,4,4,1,2
Gen Y,0,Travel_Rarely,810,Research & Development,Long Distance,Doctor,Life Sciences,Better,14,Senior,Female,44,Junior Manager,Research Director,Single,15992,15901,2,No,14,Medium,0,2,0,0,0
Millennials,0,Travel_Rarely,616,Research & Development,Medium Distance,Bachelor,Medical,Good,15,Junior,Female,41,Junior Supervisor,Healthcare Representative,Married,5855,17369,0,Yes,11,High,2,2,7,8,5
Millennials,0,Non-Travel,573,Research & Development,Short Distance,Bachelor,Medical,Good,16,Junior,Female,79,Junior Supervisor,Research Scientist,Divorced,5329,15717,7,Yes,12,High,3,3,11,1,9
Millennials,0,Travel_Rarely,408,Research & Development,Short Distance,Master,Technical Degree,Good,17,Junior,Female,80,Junior Supervisor,Healthcare Representative,Single,4553,20978,1,No,11,Medium,0,4,7,11,10
Gen X,0,Travel_Rarely,821,Research & Development,Short Distance,College,Medical,Good,18,Senior,Male,86,Senior Manager,Research Director,Married,19406,8509,4,No,11,Low,1,4,2,1,2
Gen Z,0,Travel_Frequently,772,Research & Development,Short Distance,Below College,Life Sciences,Better,19,Junior,Male,77,Junior Supervisor,Manufacturing Director,Divorced,5206,4973,1,No,17,High,2,6,7,0,7
Gen Y,0,Travel_Rarely,1098,Research & Development,Short Distance,College,Medical,Better,20,Expert,Male,85,Senior Manager,Manager,Married,18711,12124,2,No,13,Medium,1,2,0,0,0
Gen Z,0,Travel_Rarely,691,Research & Development,Long Distance,Bachelor,Medical,Better,21,Junior,Male,89,Staff,Research Scientist,Married,2725,21630,1,Yes,11,Medium,2,3,5,1,4
Millennials,0,Travel_Rarely,302,Research & Development,Short Distance,Bachelor,Life Sciences,Better,22,Junior,Female,75,Junior Manager,Manufacturing Director,Single,13237,20364,7,No,15,Medium,0,3,6,5,13
Gen Y,0,Non-Travel,267,Sales,Short Distance,College,Life Sciences,Better,23,Junior,Male,56,Junior Supervisor,Sales Executive,Single,6230,13430,7,No,14,Very High,0,3,3,1,10
Millennials,0,Travel_Rarely,588,Sales,Short Distance,College,Technical Degree,Good,24,Junior,Female,65,Junior Supervisor,Sales Executive,Married,5228,24624,1,Yes,11,High,0,2,12,11,9
Gen Z,1,Travel_Rarely,813,Research & Development,Short Distance,Bachelor,Medical,Good,25,Junior,Male,61,Staff,Research Scientist,Married,2293,3020,2,Yes,16,Medium,1,2,0,2,0
Gen Y,0,Travel_Rarely,722,Research & Development,Long Distance,Master,Life Sciences,Good,26,Junior,Female,84,Staff,Laboratory Technician,Married,3211,22102,1,No,14,Medium,1,3,6,1,4
Gen Z,0,Travel_Rarely,350,Research & Development,Long Distance,College,Technical Degree,Good,27,Junior,Male,57,Staff,Laboratory Technician,Divorced,2296,10036,0,No,14,Medium,3,3,1,0,0
Millennials,0,Travel_Rarely,412,Research & Development,Medium Distance,Master,Medical,Good,28,Junior,Female,94,Junior Manager,Manager,Divorced,17123,17334,6,Yes,13,High,2,4,9,15,2
Gen X,0,Travel_Rarely,818,Human Resources,Short Distance,College,Medical,Good,29,Junior,Male,52,Staff,Human Resources,Married,2267,25657,8,No,17,High,0,2,2,2,2
Gen Y,0,Travel_Rarely,1176,Human Resources,Long Distance,Master,Life Sciences,Better,30,Expert,Female,98,Senior Manager,Manager,Married,19658,5220,3,No,11,High,1,2,2,1,0
Millennials,0,Travel_Rarely,1425,Research & Development,Medium Distance,Below College,Life Sciences,Good,31,Junior,Male,68,Junior Supervisor,Healthcare Representative,Married,6586,4821,0,Yes,17,Medium,1,2,8,4,11
Gen Z,0,Travel_Rarely,853,Research & Development,Short Distance,Master,Life Sciences,Good,32,Junior,Male,49,Junior Supervisor,Laboratory Technician,Divorced,3491,11309,1,No,13,Medium,3,4,7,8,9
Millennials,0,Travel_Rarely,433,Human Resources,Short Distance,Bachelor,Human Resources,Better,33,Junior,Male,37,Staff,Human Resources,Married,2844,6004,1,No,13,High,1,2,6,5,0
Gen Z,1,Travel_Frequently,1496,Sales,Short Distance,Bachelor,Technical Degree,Better,34,Junior,Male,92,Staff,Sales Representative,Married,2909,15747,3,No,15,Medium,1,3,2,1,2
Millennials,0,Travel_Rarely,192,Research & Development,Short Distance,Master,Life Sciences,Good,35,Junior,Male,32,Staff,Research Scientist,Divorced,2695,7747,0,Yes,18,High,1,2,2,2,2
Millennials,0,Non-Travel,845,Sales,Short Distance,Doctor,Medical,Better,36,Mid-level,Female,45,Junior Supervisor,Sales Executive,Single,6653,15276,4,No,15,High,0,6,0,0,0
Millennials,0,Travel_Rarely,427,Research & Development,Short Distance,Bachelor,Medical,Better,37,Junior,Male,33,Junior Supervisor,Manufacturing Director,Married,6162,10877,1,Yes,22,Medium,1,3,8,7,8
Gen Y,0,Travel_Rarely,990,Research & Development,Long Distance,Bachelor,Technical Degree,Better,38,Junior,Male,87,Staff,Laboratory Technician,Divorced,4876,5855,5,No,12,High,1,0,4,0,2
Gen Z,0,Non-Travel,120,Sales,Short Distance,Bachelor,Medical,Better,39,Junior,Male,43,Junior Supervisor,Sales Executive,Married,4221,8863,1,No,15,Medium,0,3,4,0,4
Millennials,1,Travel_Rarely,249,Sales,Short Distance,Master,Life Sciences,Good,40,Junior,Male,76,Junior Supervisor,Sales Executive,Married,6172,20739,4,Yes,18,Medium,0,3,7,7,7
Gen Y,0,Travel_Rarely,316,Sales,Short Distance,Master,Marketing,Better,41,Junior,Male,54,Staff,Sales Representative,Married,3875,9983,7,No,15,High,1,2,2,2,2
Millennials,0,Travel_Rarely,1132,Research & Development,Short Distance,Bachelor,Medical,Better,42,Junior,Male,48,Senior Supervisor,Healthcare Representative,Divorced,9613,10942,0,No,17,Medium,3,5,10,3,7
Millennials,0,Travel_Rarely,809,Research & Development,Medium Distance,Bachelor,Medical,Better,43,Junior,Male,84,Staff,Laboratory Technician,Married,2426,16479,0,No,13,Medium,1,5,4,0,3
Millennials,0,Travel_Frequently,379,Sales,Short Distance,College,Life Sciences,Better,44,Junior,Male,48,Junior Supervisor,Sales Executive,Married,6524,8891,1,No,14,Medium,1,3,8,5,3
Gen Z,1,Travel_Rarely,1330,Research & Development,Long Distance,Bachelor,Medical,Better,45,Junior,Male,37,Staff,Laboratory Technician,Divorced,2377,19373,1,No,20,Medium,1,0,1,0,0
Gen Z,0,Travel_Rarely,288,Research & Development,Short Distance,Bachelor,Life Sciences,Good,46,Junior,Male,99,Junior Supervisor,Healthcare Representative,Married,4152,15830,1,No,19,Medium,3,3,10,10,8
Millennials,0,Travel_Rarely,345,Sales,Short Distance,College,Life Sciences,Better,47,Junior,Female,100,Junior Supervisor,Sales Executive,Married,5343,5982,1,No,11,Medium,1,1,7,1,9
